Title Name,Tareeeeek,Publisher,Date of Publication,Physical Description,Part of Series,Number in Series,ISBN,BL Record ID,,,
Love is - :cartoons from the 'Daily Mail',London,Associated Newspapers,[1975],[82]p. :of ill. ,13cm.,,,0851441084 (pbk),5593378,,
Love is - :cartoons from the 'Daily Mail',London,Associated Newspapers,[1975],[42]p. :of ill. ,13cm.,,,0851441246 (pbk),5593379,,
Love is- :cartoons from the 'Daily Mail',London,Associated Newspapers,[1976],[82]p. :of ill. ,13cm.,,,0851441327 (pbk),5593380,,
Love is- :cartoons from the 'Daily Mail',London,Associated Newspapers,[1976],[80]p. :of ill. ,13cm.,,,0851441378 (pbk),5593381,,
The Perishers,"London (79 Camden Rd, NW1 9NT)",Mirror Group Books,1975,[96]p. :of ill. ,14x22cm.,,,0859390403 (pbk),5594540,,
The Perishers omnibus,"London (79 Camden Rd, Camden, NW1 9NT)",Mirror Group Books,1975,[240]p. :of ill. ,15x22cm.,,,0859390462 (pbk),5594541,,
The Perishers omnibus,London,Mirror Group Books,1976,[234]p. of ill ,15x22cm.,,,0859390675 (pbk),5594542,,
Maus :a survivor's tale,London,Penguin,2003,296 p. :chiefly ill. ,24 cm.,,,0141014083 (pbk.),5601136,,
Slaine :warrior beyond time,London,Hamlyn,2001,208p. :all ill. ,30cm.,,,0600603105 (pbk),5603664,,
The fabulous furry Freak brothers,London,Knockabout Publications,1990,32p. :chiefly ill. ,26cm.,,,861660641,5605777,,
Firkin,London,Knockabout Comics,1990,25cm.,,,861660803,5605778,,,
The remaining sunlight,London,Titan,1999,[84] p. :all col. ill. ,26 cm.,"Buffy, the vampire slayer",,1840230789 (pbk.),5607078,,
Dark empire,London,Dark Horse Comics,1995,184p. :all col. ill. ,26cm.,,,1840230983 (pbk),5607079,,
Dark empire,London,Dark Horse Comics,1995,[154]p. :all col. ill. ,26cm.,,,1840230991 (pbk),5607080,,
Tom Strong collected edition,"La Jolla, Calif.",America's Best Comics ,c2000.,[ca. 176] p. :all col. ill. ,26 cm.,,,1840232285 (pbk.),1563896540 (U.S.),5607081,
Tom Strong collected edition,London,Titan [distributor],c2000.,[ca. 176] p. :all col. ill. ,26 cm.,,,1840232285 (pbk.),1563896540 (U.S.),5607081,
Under new management,"La Jolla, Calif.",WildStorm ,c 2000.,[ca. 192] p. :all col. ill. ,26 cm.,The Authority ,,book 2,1840232765 (pbk.),1563897563 (WildStorm),5607082
Under new management,London,Titan [distributor],c 2000.,[ca. 192] p. :all col. ill. ,26 cm.,The Authority ,,book 2,1840232765 (pbk.),1563897563 (WildStorm),5607082
Digital Digimon monsters,London,Titan.,"2001,",88p. :all col. ill. ,26cm.,,,1840232781 (pbk),5607083,,
Akira,London,Titan,c2001.,301 p. :ill. (some col.) ,26 cm.,,,184023279X (pbk.),5607084,,
Enemy unseen,London,Titan,2001,[220] p. :all col. ill. ,26 cm.,Star Trek. The Next Generation,,1840233052 (pbk.),5607086,,
Akira,London,Titan,c2001.,282 p. :ill. (some col.) ,26 cm.,,,1840233168 (pbk.),5607087,,
The fourth man,London,Titan,2002,144p. :col. ill. ,26cm.,,,1840233230 (pbk),5607088,,
Autumnal,London,Titan,2001,[88] p. :chiefly col. ill. ,26 cm.,,,1840233826 (pbk.),5607089,,
Slaíne the King ,London,Titan Books in association with 2000 AD,2002,"ca. 150 p. :chiefly ill., 1 map ;30 cm.",,,1840234164,5607090,,,
Tank Girl,London,Titan,2002,128 p. :ill. ,26cm.,,,184023492X (pbk),5607094,,
Tank Girl,London,Titan,2002,80 p. :col. ill. ,26cm.,,,1840234938 (pbk),5607095,,
Garfield classics.,"Partridge Green, West Sussex",Ravette Publishing,2000,1 v. :chiefly ill. ,18 cm.,,,1841610224,5607268,,
Garfield classics.,Partridge Green,Ravette,2001,1 v. :chiefly ill. ,18 cm.,,,1841610895 (pbk.),5607270,,
Garfield classics.,"Partridge Green, West Sussex",Ravette Publishing,1999,1 v. :chiefly ill. ,18 cm.,,,1853049972,5607638,,
Alice,[S.l.],Simon Henwood,1998,60p. :chiefly ill. ,42cm.,,,1902053028 (pbk),5609051,,
How to draw manga,Tokyo,Graphic-sha ,"2001,",124 p. :ill. ,26 cm.,,,4766111494 (pbk.),5609483,,
How to draw manga,[London,Hi Marketing] [distributor],"2001,",124 p. :ill. ,26 cm.,,,4766111494 (pbk.),5609483,,
Love is :cartoons from the 'Daily mail',[London],[Associated Newspapers],[1977],[80]p. :of ill. ,13cm.,,,,5609878,,
'Sunday express' & 'Daily express' cartoons,London,Beaverbrook Newspapers,1977,"[128]p. :of ill., 1port. ;20x26cm.",,,,5610193,,,
The Gambols,London,Beaverbook Newspapers,1977,[96]p. :of ill(some col) ,15x22cm.,,,,5610463,,
Love is :cartoons from the 'Daily mail',[London],[Associated Newspapers Group],[1978],[80]p. :of ill. ,13cm.,,,,5610488,,
Cartoons from the London 'Evening standard' & the 'Daily express',London,Beaverbrook Newspapers,1977,[96]p. :of ill. ,16x22cm.,,,,5611020,,
Love is :cartoons from the 'Daily mail',[London],[Associated Newspapers Group],[1977],[82]p. :chiefly ill. ,13cm.,,,,5611046,,
Cartoons from the London 'Evening standard' & the 'Daily express',London,Beaverbrook Newspapers,1978,[96]p. :of ill. ,16x22cm.,,,,5611281,,
'Sunday express' & 'Daily express' cartoons,"London (Fleet St., EC4P 4JT)",Express Newspapers Ltd,1978,"[128]p. :of ill., 1port. ;20x26cm.",,,,5611351,,,
Love is :cartoons from the 'Daily mail',[London],[Associated Newspapers Group],[1979],[64]p. :of ill(chiefly col) ,14cm.,,,,5611398,,
Comic cuts :newsletter of the Association of Comics Enthusiasts.,[London],[Association of Comics Enthusiasts],[1978]-,"v. :ill., facsims. ;30 x 22 cm.",,,,5611706,,,
The Gambols,London,Express Newspapers,1979,"[98]p. :of ill., some col) ;15x22cm.",,,,5612531,,,
Bogor,"Christchurch, N.Z. ; London",Whitcoulls,1978,32p. :chiefly ill. ,16x24cm.,,,0723305978 (sd),5625544,,
The gambols,London,Express Newspapers,c1981.,96p. :ill(some col.) ,15x22cm.,,,0850791162 (pbk),5626018,,
Fosdyke saga,London,Mirror Group Books,1977,[160]p. :of ill. ,13x22cm.,,,0859390985 (pbk),5626884,,
Fosdyke saga,London,Mirror Group Books,1978,[160]p. :of ill. ,14x22cm.,,,0859391396 (pbk),5626885,,
Fosdyke saga,London,Mirror Books,1979,[160]p. :of ill. ,14x22cm.,,,085939171X (pbk),5626886,,
Fosdyke saga :from the famous Daily Mirror strip,London,Mirror,1980,[159]p. :ill. ,14x22cm.,,,0859392171 (pbk),5626887,,
The Perishers book,London,Mirror,1980,[96]p. :chiefly ill. ,14x22cm.,,,085939235X (pbk),5626888,,
The adventures of Luther Arkwright,London,Never,1982,[96]p. :ill. ,28cm.,,,090786502X (pbk),5629315,,
Calvin and Hobbes,[London],Warner,1992,3 v. :chiefly ill. ,18cm.,,,0747411581 (pbk : v.1),074741159X (v.2),0747411603 (v.3),5631029
Dark lords of the Sith,London,Boxtree,1995,1 v. :col.ill. ,26cm.,Star wars. Tales of the Jedi,,0752206168 (pbk),5631660,,
Destination New York,,Mammoth,1990,52p.,,,0416015328 (cased),0749705310 (pbk),5637915,,
The history of the comic strip :the nineteenth century,Berkeley , Oxford,University of California Press,c1990.,"xx, 391 p. :ill. ;35 cm.",,,520057759,5639156,,
'Sunday express' & 'Daily express' cartoons,London,Express Newspapers,c1984.,"[128]p. :chiefly ill., 1port. ;20x26cm.",,,0850791383 (pbk),5644105,,,
The Gambols,London,Express Newspapers,c1984.,[96]p. :ill. ,15x21cm.,,,0850791391 (pbk),5644106,,
Sunday express & Daily express cartoons,London,Express Newspapers,1989,[126]p. :chiefly ill. ,20x26cm.,,,085079188X (pbk),5644109,,
The big big Bristow book,London,"Little, Brown",2001,160p. :ill. ,23cm.,,,0316858226 (pbk),5653224,,
Asterix the conqueror,London,Hodder Children's,1997,84p. ,21cm.,,,034070358X (pbk.),5653441,,
Absolutely Asterix,London,Hodder Dargaud,1998,[204]p. :chiefly col.ill. ,30cm.,,,034072756X,5653486,,
The X-files :the TV episodes,London,Titan,1998,144p. :all col. ill. ,26cm.,,,1840230037 (pbk),5658624,,
Dark empire,London,Dark Horse Comics,1995,184p. :all col. ill. ,26cm.,,,1840230983 (pbk),5658626,,
Enemy unseen,London,Titan,2001,224p. :all col. ill. ,26cm.,,,1840233052 (pbk),5658634,,
